SPFB.RTS-12.18,1,10/09/18,10:01,103750.0000000,103900.0000000,103680.0000000,103900.0000000,19	103750.00000	103750,00000	103750	1		10/09/18 открытие	10/09/18 закрытие	10.09.2018 мин	10.09.2018 макс	10/10/18 открытие	10/10/18 закрытие	10/10/18 мин	 10/10/18 макс	08/11/18 открытие	08/11/18 закрытие	08/11/18 мин	08/11/18 макс	08/12/18 открытие	08/12/18 закрытие	08.12.2018 мин	08.12.2018 макс
SPFB.RTS-12.18,1,10/09/18,11:01,103970.0000000,104050.0000000,103970.0000000,104050.0000000,22	103970.00000	103970,00000	103970																		
SPFB.RTS-12.18,1,10/09/18,11:02,104060.0000000,104080.0000000,104060.0000000,104080.0000000,44	104060.00000	104060,00000	104060																		
SPFB.RTS-12.18,1,10/09/18,11:03,104050.0000000,104060.0000000,104050.0000000,104060.0000000,4	104050.00000	104050,00000	104050																		
SPFB.RTS-12.18,1,10/09/18,11:05,104000.0000000,104020.0000000,104000.0000000,104020.0000000,6	104000.00000	104000,00000	104000																		
SPFB.RTS-12.18,1,10/09/18,11:06,104000.0000000,104000.0000000,104000.0000000,104000.0000000,4	104000.00000	104000,00000	104000																		
SPFB.RTS-12.18,1,10/09/18,11:07,103980.0000000,103980.0000000,103960.0000000,103960.0000000,53	103980.00000	103980,00000	103980																		
SPFB.RTS-12.18,1,10/09/18,11:08,104000.0000000,104000.0000000,104000.0000000,104000.0000000,5	104000.00000	104000,00000	104000																		
SPFB.RTS-12.18,1,10/09/18,11:09,104030.0000000,104060.0000000,104030.0000000,104060.0000000,3	104030.00000	104030,00000	104030																		
SPFB.RTS-12.18,1,10/09/18,11:10,104070.0000000,104070.0000000,104070.0000000,104070.0000000,16	104070.00000	104070,00000	104070																		
SPFB.RTS-12.18,1,10/09/18,11:11,104010.0000000,104040.0000000,103930.0000000,103940.0000000,29	104010.00000	104010,00000	104010																		
SPFB.RTS-12.18,1,10/09/18,11:12,103930.0000000,103950.0000000,103930.0000000,103940.0000000,15	103930.00000	103930,00000	103930																		
SPFB.RTS-12.18,1,10/09/18,11:13,103950.0000000,103950.0000000,103950.0000000,103950.0000000,1	103950.00000	103950,00000	103950																		
SPFB.RTS-12.18,1,10/09/18,11:14,103910.0000000,103910.0000000,103910.0000000,103910.0000000,1	103910.00000	103910,00000	103910																		
SPFB.RTS-12.18,1,10/09/18,11:15,103900.0000000,103900.0000000,103840.0000000,103840.0000000,21	103900.00000	103900,00000	103900																		
SPFB.RTS-12.18,1,10/09/18,11:16,103810.0000000,103830.0000000,103750.0000000,103760.0000000,38	103810.00000	103810,00000	103810																		
SPFB.RTS-12.18,1,10/09/18,11:17,103770.0000000,103780.0000000,103720.0000000,103750.0000000,69	103770.00000	103770,00000	103770																		
SPFB.RTS-12.18,1,10/09/18,11:18,103780.0000000,103780.0000000,103780.0000000,103780.0000000,1	103780.00000	103780,00000	103780																		
SPFB.RTS-12.18,1,10/09/18,11:19,103750.0000000,103800.0000000,103750.0000000,103800.0000000,14	103750.00000	103750,00000	103750																		
SPFB.RTS-12.18,1,10/09/18,11:20,103780.0000000,103780.0000000,103750.0000000,103750.0000000,3	103780.00000	103780,00000	103780																		
SPFB.RTS-12.18,1,10/09/18,11:21,103740.0000000,103750.0000000,103740.0000000,103750.0000000,4	103740.00000	103740,00000	103740																		
SPFB.RTS-12.18,1,10/09/18,11:22,103740.0000000,103830.0000000,103740.0000000,103800.0000000,16	103740.00000	103740,00000	103740																		
SPFB.RTS-12.18,1,10/09/18,11:23,103790.0000000,103790.0000000,103790.0000000,103790.0000000,2	103790.00000	103790,00000	103790																		
SPFB.RTS-12.18,1,10/09/18,11:24,103780.0000000,103790.0000000,103780.0000000,103780.0000000,5	103780.00000	103780,00000	103780																		
SPFB.RTS-12.18,1,10/09/18,11:25,103780.0000000,103780.0000000,103780.0000000,103780.0000000,1	103780.00000	103780,00000	103780																		
SPFB.RTS-12.18,1,10/09/18,11:26,103790.0000000,103790.0000000,103790.0000000,103790.0000000,1	103790.00000	103790,00000	103790																		
SPFB.RTS-12.18,1,10/09/18,11:27,103790.0000000,103800.0000000,103710.0000000,103710.0000000,7	103790.00000	103790,00000	103790																		
SPFB.RTS-12.18,1,10/09/18,11:28,103720.0000000,103720.0000000,103690.0000000,103690.0000000,14	103720.00000	103720,00000	103720																		
SPFB.RTS-12.18,1,10/09/18,11:29,103700.0000000,103700.0000000,103700.0000000,103700.0000000,3	103700.00000	103700,00000	103700																		
SPFB.RTS-12.18,1,10/09/18,11:31,103780.0000000,103780.0000000,103780.0000000,103780.0000000,2	103780.00000	103780,00000	103780																		
SPFB.RTS-12.18,1,10/09/18,11:32,103800.0000000,103800.0000000,103800.0000000,103800.0000000,35	103800.00000	103800,00000	103800																		
SPFB.RTS-12.18,1,10/09/18,11:33,103750.0000000,103750.0000000,103750.0000000,103750.0000000,1	103750.00000	103750,00000	103750																		
SPFB.RTS-12.18,1,10/09/18,11:34,103730.0000000,103730.0000000,103730.0000000,103730.0000000,1	103730.00000	103730,00000	103730																		
SPFB.RTS-12.18,1,10/09/18,11:35,103750.0000000,103780.0000000,103750.0000000,103750.0000000,32	103750.00000	103750,00000	103750																		
SPFB.RTS-12.18,1,10/09/18,11:36,103800.0000000,103810.0000000,103790.0000000,103810.0000000,43	103800.00000	103800,00000	103800																		
SPFB.RTS-12.18,1,10/09/18,11:41,103830.0000000,103860.0000000,103830.0000000,103840.0000000,4	103830.00000	103830,00000	103830																		
SPFB.RTS-12.18,1,10/09/18,11:42,103800.0000000,103830.0000000,103800.0000000,103830.0000000,10	103800.00000	103800,00000	103800																		
SPFB.RTS-12.18,1,10/09/18,11:43,103800.0000000,103800.0000000,103800.0000000,103800.0000000,1	103800.00000	103800,00000	103800																		
SPFB.RTS-12.18,1,10/09/18,11:44,103850.0000000,103960.0000000,103850.0000000,103960.0000000,11	103850.00000	103850,00000	103850																		
SPFB.RTS-12.18,1,10/09/18,11:45,103940.0000000,103940.0000000,103900.0000000,103900.0000000,8	103940.00000	103940,00000	103940																		
SPFB.RTS-12.18,1,10/09/18,11:46,103930.0000000,103940.0000000,103930.0000000,103940.0000000,4	103930.00000	103930,00000	103930																		
SPFB.RTS-12.18,1,10/09/18,11:47,103920.0000000,103920.0000000,103920.0000000,103920.0000000,1	103920.00000	103920,00000	103920																		
SPFB.RTS-12.18,1,10/09/18,11:48,103900.0000000,103900.0000000,103900.0000000,103900.0000000,1	103900.00000	103900,00000	103900																		
SPFB.RTS-12.18,1,10/09/18,11:49,103850.0000000,103850.0000000,103830.0000000,103830.0000000,9	103850.00000	103850,00000	103850																		
SPFB.RTS-12.18,1,10/09/18,11:50,103830.0000000,103830.0000000,103830.0000000,103830.0000000,1	103830.00000	103830,00000	103830																		
SPFB.RTS-12.18,1,10/09/18,11:51,103880.0000000,103890.0000000,103880.0000000,103890.0000000,6	103880.00000	103880,00000	103880																		
SPFB.RTS-12.18,1,10/09/18,11:52,103950.0000000,103980.0000000,103930.0000000,103970.0000000,16	103950.00000	103950,00000	103950																		
SPFB.RTS-12.18,1,10/09/18,11:57,103890.0000000,103920.0000000,103890.0000000,103920.0000000,7	103890.00000	103890,00000	103890																		
SPFB.RTS-12.18,1,10/09/18,11:59,103970.0000000,103970.0000000,103970.0000000,103970.0000000,1	103970.00000	103970,00000	103970																		
SPFB.RTS-12.18,1,10/09/18,12:01,103930.0000000,103930.0000000,103930.0000000,103930.0000000,1	103930.00000	103930,00000	103930																		
SPFB.RTS-12.18,1,10/09/18,12:04,103900.0000000,103900.0000000,103900.0000000,103900.0000000,1	103900.00000	103900,00000	103900																		
SPFB.RTS-12.18,1,10/09/18,12:06,103960.0000000,103960.0000000,103960.0000000,103960.0000000,1	103960.00000	103960,00000	103960																		
